timestamp,mse,mae,count
2025-06-22 13:01:39.574453,17627.60736100006,132.76900000000023,2
2025-06-22 13:03:40.485642,45818.773306175586,189.85142500000438,4
2025-06-22 13:04:42.703378,62733.472873280894,224.10088000000687,5
2025-06-22 13:05:46.305934,74009.93925135111,246.93385000000853,6
2025-06-22 13:06:49.017758,82064.55809282984,263.243114285724,7
2025-06-22 13:07:52.454280,88105.52222393887,275.4750625000106,8
2025-06-22 13:08:54.949020,92804.04988146812,284.9888000000113,9
2025-06-22 13:09:59.525897,96562.87200749153,292.59979000001186,10
2025-06-22 13:10:39.891143,99638.2719287834,298.8269636363759,11
2025-06-22 13:12:40.895306,102201.10519652662,304.0162750000127,12
2025-06-22 13:13:39.915337,104369.65642307859,308.40723076924377,13
2025-06-22 13:15:44.202729,106228.41461726597,312.1709071428704,14
2025-06-22 13:16:43.807334,107839.33838556171,315.4327600000135,15
2025-06-22 13:18:52.591030,106815.84733011933,314.620043750012,16
2025-06-22 13:19:56.659261,105912.76698708192,313.9029411764812,17
2025-06-22 13:20:59.054406,100539.64121683092,301.7915777777889,18
2025-06-22 13:22:01.696302,95732.10763292213,290.9550947368537,19
2025-06-22 13:23:01.151386,91405.32740740423,281.202260000012,20
2025-06-22 13:25:01.280188,87490.62148907849,272.37826666667905,21
2025-06-22 13:26:00.990568,83931.7979269642,264.35645454546733,22
2025-06-22 13:27:42.158399,80682.43728329462,257.0321913043609,23
2025-06-22 13:28:44.045299,77703.85669326416,250.3182833333467,24
2025-06-22 13:29:44.532425,74963.56255043615,244.14148800001362,25
2025-06-22 13:30:44.060552,72434.06026474875,238.43983076924465,26
2025-06-22 13:32:44.210644,70091.92851874192,233.16051851853263,27
2025-06-22 13:33:44.656632,67917.09189744983,228.25830000001432,28
2025-06-22 13:34:49.302464,65892.24400866067,223.6941655172559,29
2025-06-22 13:35:50.669015,64002.38597912411,219.43430666668138,30
2025-06-22 13:36:55.305269,62234.45427407378,215.4492774193697,31
2025-06-22 13:37:57.535023,60577.018300589065,211.71331250001504,32
2025-06-22 13:39:00.311675,59020.03299216406,208.2037696969849,33
2025-06-22 13:40:03.394690,57554.63505482288,204.90067058825062,34
2025-06-22 13:41:03.991631,56172.97414247262,201.78632000001548,35
2025-06-22 13:42:01.971212,54868.072169697385,198.84498888890448,36
2025-06-22 13:44:03.006143,53498.52680900295,195.22128648650235,37
2025-06-22 13:45:03.361658,52201.062783081914,191.788305263174,38
2025-06-22 13:45:43.679490,50970.13537387477,188.53137435899072,39
2025-06-22 13:47:36.607578,50970.13537387477,188.53137435899072,39
2025-06-22 13:49:38.922102,2707.825438484514,46.26780000005965,2
2025-06-22 13:50:39.674324,3442.3792003248095,54.20586666671928,3
2025-06-22 13:51:39.253050,3809.6560812449575,58.17490000004909,4
2025-06-22 13:53:42.713673,4086.3804144688897,60.952800000045684,5
2025-06-22 13:54:46.577819,4270.863303284844,62.80473333337674,6
2025-06-22 13:55:49.116419,4402.63679529624,64.12754285718464,7
2025-06-22 13:56:53.352177,4501.466914304788,65.11965000004056,8
2025-06-22 13:57:56.113627,4578.334784644769,65.8912888889285,9
2025-06-22 13:58:59.052461,4639.829080916754,66.50860000003885,10
2025-06-22 14:00:00.482997,4690.142596048378,67.01367272731096,11
2025-06-22 14:01:00.690934,4732.0705253247315,67.43456666670438,12
2025-06-22 14:02:00.715936,4767.548003943185,67.79070769234498,13
2025-06-22 14:03:00.593892,4797.95727133043,68.09597142860834,14
2025-06-22 14:04:30.847989,4824.311969732708,68.36053333336991,15
2025-06-22 14:06:42.951445,4639.113010664851,66.78430000003937,16
2025-06-22 14:08:44.674777,4475.702164428506,65.39350588239476,17
2025-06-22 14:09:44.166908,4330.448078885089,64.15724444448844,18
2025-06-22 14:11:48.203623,4200.483897083084,63.051115789519635,19
2025-06-22 14:12:52.045831,4083.51613346128,62.055600000047704,20
2025-06-22 14:13:56.881659,3977.688156851076,61.15489523814453,21
2025-06-22 14:14:59.091781,3881.480905387254,60.33607272732347,22
2025-06-22 14:16:03.418692,3793.6395018768085,59.5884521739651,23
2025-06-22 14:17:03.715966,3713.1182153255663,58.9031333333866,24
2025-06-22 14:18:03.493737,3639.0386316984236,58.27264000005438,25
2025-06-22 14:20:03.788132,3570.657477581061,57.69064615390156,26
2025-06-22 14:21:00.934183,3507.3415941390585,57.15176296301932,27
2025-06-22 14:24:06.569798,3448.5482738000564,56.65137142862867,28
2025-06-22 14:25:03.422700,3393.8096652085715,56.18548965523048,29
2025-06-22 14:27:02.844417,3342.7202971898523,55.75066666672549,30
2025-06-22 14:29:01.242912,3294.9270174304056,55.343896774253096,31
2025-06-22 14:31:02.933661,3250.120817655923,54.96255000006022,32
2025-06-22 14:32:01.481960,3208.030145140501,54.604315151576,33
2025-06-22 14:34:03.198460,3168.415394537751,54.26715294123792,34
2025-06-22 14:35:01.726582,3131.0643439694436,53.94925714291915,35
2025-06-22 14:37:01.271917,3157.69715423703,54.227108333392,36
2025-06-22 14:39:04.507153,3182.8903531388014,54.48994054059605,37
2025-06-22 14:40:03.819478,3206.757594203637,54.73893947373673,38
2025-06-22 14:42:02.936401,3229.400874188225,54.975169230818906,39
2025-06-22 14:43:02.179992,3250.9119901735826,55.19958750004698,40
2025-06-22 14:45:04.166939,3271.3737834279477,55.413058536629784,41
2025-06-22 14:47:03.876621,3290.8612055749622,55.61636428575626,42
2025-06-22 14:48:01.798659,3309.442235994208,55.81021395352802,43
2025-06-22 14:50:01.587201,3327.1786741216706,55.995252272764695,44
